branch_id,feature_subset,n_features,data_branch,tuning_branch,tuning_method,augmentation_strategy,validation_type,models_run,status,notes,duration_sec
FUSION_N_ST,FUSION,203,N,ST,none,none,loeo,all_baselines,OK,,4.6
FUSION_N_CT_random,FUSION,203,N,CT,random,none,loeo,all_baselines,OK,,11.0
FUSION_N_CT_grid,FUSION,203,N,CT,grid,none,loeo,all_baselines,OK,,8.1
FUSION_A_ST_feature_noise,FUSION,203,A,ST,none,feature_noise,loeo,all_baselines,OK,,5.2
FUSION_A_CT_random_feature_noise,FUSION,203,A,CT,random,feature_noise,loeo,all_baselines,OK,,8.1
FUSION_A_CT_grid_feature_noise,FUSION,203,A,CT,grid,feature_noise,loeo,all_baselines,OK,,10.8
FUSION_A_ST_feature_scaling,FUSION,203,A,ST,none,feature_scaling,loeo,all_baselines,OK,,8.4
FUSION_A_CT_random_feature_scaling,FUSION,203,A,CT,random,feature_scaling,loeo,all_baselines,OK,,11.3
FUSION_A_CT_grid_feature_scaling,FUSION,203,A,CT,grid,feature_scaling,loeo,all_baselines,OK,,14.0
FUSION_A_ST_grouped_scaling,FUSION,203,A,ST,none,grouped_scaling,loeo,all_baselines,OK,,8.4
FUSION_A_CT_random_grouped_scaling,FUSION,203,A,CT,random,grouped_scaling,loeo,all_baselines,OK,,11.9
FUSION_A_CT_grid_grouped_scaling,FUSION,203,A,CT,grid,grouped_scaling,loeo,all_baselines,OK,,14.5
SOLO_A_N_ST,SOLO_A,101,N,ST,none,none,loeo,all_baselines,OK,,6.0
SOLO_A_N_CT_random,SOLO_A,101,N,CT,random,none,loeo,all_baselines,OK,,7.0
SOLO_A_N_CT_grid,SOLO_A,101,N,CT,grid,none,loeo,all_baselines,OK,,8.6
SOLO_A_A_ST_feature_noise,SOLO_A,101,A,ST,none,feature_noise,loeo,all_baselines,OK,,6.6
SOLO_A_A_CT_random_feature_noise,SOLO_A,101,A,CT,random,feature_noise,loeo,all_baselines,OK,,8.2
SOLO_A_A_CT_grid_feature_noise,SOLO_A,101,A,CT,grid,feature_noise,loeo,all_baselines,OK,,10.2
SOLO_A_A_ST_feature_scaling,SOLO_A,101,A,ST,none,feature_scaling,loeo,all_baselines,OK,,7.3
SOLO_A_A_CT_random_feature_scaling,SOLO_A,101,A,CT,random,feature_scaling,loeo,all_baselines,OK,,8.9
SOLO_A_A_CT_grid_feature_scaling,SOLO_A,101,A,CT,grid,feature_scaling,loeo,all_baselines,OK,,11.6
SOLO_A_A_ST_grouped_scaling,SOLO_A,101,A,ST,none,grouped_scaling,loeo,all_baselines,OK,,7.4
SOLO_A_A_CT_random_grouped_scaling,SOLO_A,101,A,CT,random,grouped_scaling,loeo,all_baselines,OK,,8.4
SOLO_A_A_CT_grid_grouped_scaling,SOLO_A,101,A,CT,grid,grouped_scaling,loeo,all_baselines,OK,,10.3
SOLO_R_N_ST,SOLO_R,99,N,ST,none,none,loeo,all_baselines,OK,,5.9
SOLO_R_N_CT_random,SOLO_R,99,N,CT,random,none,loeo,all_baselines,OK,,8.0
SOLO_R_N_CT_grid,SOLO_R,99,N,CT,grid,none,loeo,all_baselines,OK,,9.7
SOLO_R_A_ST_feature_noise,SOLO_R,99,A,ST,none,feature_noise,loeo,all_baselines,OK,,7.3
SOLO_R_A_CT_random_feature_noise,SOLO_R,99,A,CT,random,feature_noise,loeo,all_baselines,OK,,7.1
SOLO_R_A_CT_grid_feature_noise,SOLO_R,99,A,CT,grid,feature_noise,loeo,all_baselines,OK,,9.1
SOLO_R_A_ST_feature_scaling,SOLO_R,99,A,ST,none,feature_scaling,loeo,all_baselines,OK,,7.4
SOLO_R_A_CT_random_feature_scaling,SOLO_R,99,A,CT,random,feature_scaling,loeo,all_baselines,OK,,10.7
SOLO_R_A_CT_grid_feature_scaling,SOLO_R,99,A,CT,grid,feature_scaling,loeo,all_baselines,OK,,11.6
SOLO_R_A_ST_grouped_scaling,SOLO_R,99,A,ST,none,grouped_scaling,loeo,all_baselines,OK,,7.5
SOLO_R_A_CT_random_grouped_scaling,SOLO_R,99,A,CT,random,grouped_scaling,loeo,all_baselines,OK,,9.9
SOLO_R_A_CT_grid_grouped_scaling,SOLO_R,99,A,CT,grid,grouped_scaling,loeo,all_baselines,OK,,11.6
